[2026-02-14 13:30:32] debug: 	zh:controller: Received payload: clusterID=1029, address=24257, groupID=0, endpoint=1, destinationEndpoint=1, wasBroadcast=false, linkQuality=176, frame={"header":{"frameControl":{"frameType":0,"manufacturerSpecific":false,"direction":1,"disableDefaultResponse":true,"reservedBits":0},"transactionSequenceNumber":31,"commandIdentifier":10},"payload":[{"attrId":0,"dataType":33,"attrData":6050}],"command":{"ID":10,"name":"report","parameters":[{"name":"attrId","type":9},{"name":"dataType","type":8},{"name":"attrData","type":1000}]}}
[2026-02-14 13:30:32] debug: 	z2m: Received Zigbee message from 'Sonoff SNZB-02D 4', type 'attributeReport', cluster 'msRelativeHumidity', data '{"measuredValue":6050}' from endpoint 1 with groupID 0
[2026-02-14 13:30:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Sonoff SNZB-02D 4', payload '{"battery":100,"comfort_humidity_max":60,"comfort_humidity_min":40,"comfort_temperature_max":27,"comfort_temperature_min":19,"humidity":60.5,"humidity_calibration":0,"linkquality":176,"temperature":15.7,"temperature_calibration":0,"temperature_units":"celsius","update":{"installed_version":8960,"latest_release_notes":null,"latest_source":"https://raw.githubusercontent.com/Koenkk/zigbee-OTA/master/images/Sonoff/snzb-02d_v2.3.0.ota","latest_version":8960,"state":"idle"}}'
[2026-02-14 13:30:32] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-14 13:30:32] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=1](ackRx=1 frmTx=1)
[2026-02-14 13:30:32] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=1 frmNum=3](frmRx=3) Added to rxQueue
[2026-02-14 13:30:32] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=4](ackRx=1)
[2026-02-14 13:30:32] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=69:"INCOMING_MESSAGE_HANDLER" Seq=128 Len=33]
[2026-02-14 13:30:32] debug: 	zh:ember:ezsp: ezspIncomingMessageHandler: type=UNICAST apsFrame={"profileId":260,"clusterId":1026,"sourceEndpoint":1,"destinationEndpoint":1,"options":320,"groupId":0,"sequence":81} packetInfo:{"senderShortId":24257,"senderLongId":"0xffffffffffffffff","bindingIndex":255,"addressIndex":255,"lastHopLqi":176,"lastHopRssi":-56,"lastHopTimestamp":0} messageContents=18200a0000292206
[2026-02-14 13:30:32] debug: 	zh:controller: Received payload: clusterID=1026, address=24257, groupID=0, endpoint=1, destinationEndpoint=1, wasBroadcast=false, linkQuality=176, frame={"header":{"frameControl":{"frameType":0,"manufacturerSpecific":false,"direction":1,"disableDefaultResponse":true,"reservedBits":0},"transactionSequenceNumber":32,"commandIdentifier":10},"payload":[{"attrId":0,"dataType":41,"attrData":1570}],"command":{"ID":10,"name":"report","parameters":[{"name":"attrId","type":9},{"name":"dataType","type":8},{"name":"attrData","type":1000}]}}
[2026-02-14 13:30:32] debug: 	z2m: Received Zigbee message from 'Sonoff SNZB-02D 4', type 'attributeReport', cluster 'msTemperatureMeasurement', data '{"measuredValue":1570}' from endpoint 1 with groupID 0
[2026-02-14 13:30:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Sonoff SNZB-02D 4', payload '{"battery":100,"comfort_humidity_max":60,"comfort_humidity_min":40,"comfort_temperature_max":27,"comfort_temperature_min":19,"humidity":60.5,"humidity_calibration":0,"linkquality":176,"temperature":15.7,"temperature_calibration":0,"temperature_units":"celsius","update":{"installed_version":8960,"latest_release_notes":null,"latest_source":"https://raw.githubusercontent.com/Koenkk/zigbee-OTA/master/images/Sonoff/snzb-02d_v2.3.0.ota","latest_version":8960,"state":"idle"}}'
[2026-02-14 13:30:38] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-14 13:30:38] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=1](ackRx=1 frmTx=1)
[2026-02-14 13:30:38] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=1 frmNum=4](frmRx=4) Added to rxQueue
[2026-02-14 13:30:38] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=5](ackRx=1)
[2026-02-14 13:30:38] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=125:"INCOMING_MANY_TO_ONE_ROUTE_REQUEST_HANDLER" Seq=128 Len=16]
[2026-02-14 13:30:38] debug: 	zh:ember:ezsp: ezspIncomingManyToOneRouteRequestHandler: source=40200 longId=0x842712fffedb8ddb cost=1
[2026-02-14 13:30:54] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-14 13:30:54] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=1](ackRx=1 frmTx=1)
[2026-02-14 13:30:54] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=1 frmNum=5](frmRx=5) Added to rxQueue
[2026-02-14 13:30:54] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=6](ackRx=1)
[2026-02-14 13:30:54] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=69:"INCOMING_MESSAGE_HANDLER" Seq=128 Len=32]
[2026-02-14 13:30:54] debug: 	zh:ember:ezsp: ezspIncomingMessageHandler: type=UNICAST apsFrame={"profileId":260,"clusterId":1029,"sourceEndpoint":1,"destinationEndpoint":1,"options":320,"groupId":0,"sequence":121} packetInfo:{"senderShortId":50364,"senderLongId":"0xffffffffffffffff","bindingIndex":255,"addressIndex":255,"lastHopLqi":100,"lastHopRssi":-75,"lastHopTimestamp":0} messageContents=08210a000021de12
[2026-02-14 13:30:54] debug: 	zh:controller: Received payload: clusterID=1029, address=50364, groupID=0, endpoint=1, destinationEndpoint=1, wasBroadcast=false, linkQuality=100, frame={"header":{"frameControl":{"frameType":0,"manufacturerSpecific":false,"direction":1,"disableDefaultResponse":false,"reservedBits":0},"transactionSequenceNumber":33,"commandIdentifier":10},"payload":[{"attrId":0,"dataType":33,"attrData":4830}],"command":{"ID":10,"name":"report","parameters":[{"name":"attrId","type":9},{"name":"dataType","type":8},{"name":"attrData","type":1000}]}}
[2026-02-14 13:30:54] debug: 	zh:controller:endpoint: ZCL command 0x8c73dafffe8ff178/1 msRelativeHumidity.defaultRsp({"cmdId":10,"statusCode":0}, {"timeout":10000,"disableResponse":false,"disableRecovery":false,"disableDefaultResponse":true,"direction":1,"reservedBits":0,"transactionSequenceNumber":33,"writeUndiv":false})
[2026-02-14 13:30:54] debug: 	zh:controller:endpoint: Request Queue (0x8c73dafffe8ff178/1): send defaultRsp request immediately (sendPolicy=undefined)
[2026-02-14 13:30:54] debug: 	zh:ember: ~~~> [ZCL to=0x8c73dafffe8ff178:50364 apsFrame={"profileId":260,"clusterId":1029,"sourceEndpoint":1,"destinationEndpoint":1,"options":4352,"groupId":0,"sequence":0} header={"frameControl":{"reservedBits":0,"frameType":0,"direction":1,"disableDefaultResponse":true,"manufacturerSpecific":false},"transactionSequenceNumber":33,"commandIdentifier":11}]
[2026-02-14 13:30:54] debug: 	zh:ember:ezsp: ===> [FRAME: ID=52:"SEND_UNICAST" Seq=129 Len=26]
[2026-02-14 13:30:54] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=1 frmRx=6](ackRx=1)
[2026-02-14 13:30:54] debug: 	z2m: Received Zigbee message from 'Sonoff SNZB-02D 2', type 'attributeReport', cluster 'msRelativeHumidity', data '{"measuredValue":4830}' from endpoint 1 with groupID 0
[2026-02-14 13:30:54] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Sonoff SNZB-02D 2', payload '{"battery":100,"comfort_humidity_max":60,"comfort_humidity_min":40,"comfort_temperature_max":27,"comfort_temperature_min":19,"humidity":48.3,"humidity_calibration":0,"linkquality":100,"temperature":13.9,"temperature_calibration":0,"temperature_units":"celsius","update":{"installed_version":8960,"latest_release_notes":null,"latest_source":"https://raw.githubusercontent.com/Koenkk/zigbee-OTA/master/images/Sonoff/snzb-02d_v2.3.0.ota","latest_version":8960,"state":"idle"}}'
[2026-02-14 13:30:54] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-14 13:30:54] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=2](ackRx=1 frmTx=2)
[2026-02-14 13:30:54] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=2 frmNum=6](frmRx=6) Added to rxQueue
[2026-02-14 13:30:54] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=7](ackRx=2)
[2026-02-14 13:30:54] debug: 	zh:ember:ezsp: <=== [FRAME: ID=52:"SEND_UNICAST" Seq=129 Len=7]
[2026-02-14 13:30:54] debug: 	zh:ember:ezsp: ~~~> [SENT type=DIRECT apsSequence=63 messageTag=36 status=OK]
[2026-02-14 13:30:54] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-14 13:30:54] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=2](ackRx=2 frmTx=2)
[2026-02-14 13:30:54] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=2 frmNum=7](frmRx=7) Added to rxQueue
[2026-02-14 13:30:54] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=0](ackRx=2)
[2026-02-14 13:30:54] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=63:"MESSAGE_SENT_HANDLER" Seq=129 Len=22]
[2026-02-14 13:30:54] debug: 	zh:ember:ezsp: ezspMessageSentHandler: status=OK type=DIRECT indexOrDestination=50364 apsFrame={"profileId":260,"clusterId":1029,"sourceEndpoint":1,"destinationEndpoint":1,"options":4352,"groupId":0,"sequence":63} messageTag=36
[2026-02-14 13:31:03] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-14 13:31:03] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=2](ackRx=2 frmTx=2)
[2026-02-14 13:31:03] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=2 frmNum=0](frmRx=0) Added to rxQueue
[2026-02-14 13:31:03] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=1](ackRx=2)
[2026-02-14 13:31:03] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=89:"INCOMING_ROUTE_RECORD_HANDLER" Seq=129 Len=20]
[2026-02-14 13:31:03] debug: 	zh:ember:ezsp: ezspIncomingRouteRecordHandler: source=24257 sourceEui=0x18690afffe16c68c lastHopLqi=176 lastHopRssi=-56 relayCount=1 relayList=7447
[2026-02-14 13:31:03] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-02-14 13:31:03] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=2](ackRx=2 frmTx=2)
[2026-02-14 13:31:03] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=2 frmNum=1](frmRx=1) Added to rxQueue
[2026-02-14 13:31:03] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=2](ackRx=2)
[2026-02-14 13:31:03] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=69:"INCOMING_MESSAGE_HANDLER" Seq=129 Len=33]
[2026-02-14 13:31:03] debug: 	zh:ember:ezsp: ezspIncomingMessageHandler: type=UNICAST apsFrame={"profileId":260,"clusterId":1029,"sourceEndpoint":1,"destinationEndpoint":1,"options":320,"groupId":0,"sequence":82} packetInfo:{"senderShortId":24257,"senderLongId":"0xffffffffffffffff","bindingIndex":255,"addressIndex":255,"lastHopLqi":176,"lastHopRssi":-56,"lastHopTimestamp":0} messageContents=08210a0000212a17
[2026-02-14 13:31:03] debug: 	zh:controller: Received payload: clusterID=1029, address=24257, groupID=0, endpoint=1, destinationEndpoint=1, wasBroadcast=false, linkQuality=176, frame={"header":{"frameControl":{"frameType":0,"manufacturerSpecific":false,"direction":1,"disableDefaultResponse":false,"reservedBits":0},"transactionSequenceNumber":33,"commandIdentifier":10},"payload":[{"attrId":0,"dataType":33,"attrData":5930}],"command":{"ID":10,"name":"report","parameters":[{"name":"attrId","type":9},{"name":"dataType","type":8},{"name":"attrData","type":1000}]}}
[2026-02-14 13:31:03] debug: 	zh:controller:endpoint: ZCL command 0x18690afffe16c68c/1 msRelativeHumidity.defaultRsp({"cmdId":10,"statusCode":0}, {"timeout":10000,"disableResponse":false,"disableRecovery":false,"disableDefaultResponse":true,"direction":1,"reservedBits":0,"transactionSequenceNumber":33,"writeUndiv":false})
[2026-02-14 13:31:03] debug: 	zh:controller:endpoint: Request Queue (0x18690afffe16c68c/1): send defaultRsp request immediately (sendPolicy=undefined)
[2026-02-14 13:31:03] debug: 	zh:ember: ~~~> [ZCL to=0x18690afffe16c68c:24257 apsFrame={"profileId":260,"clusterId":1029,"sourceEndpoint":1,"destinationEndpoint":1,"options":4352,"groupId":0,"sequence":0} header={"frameControl":{"reservedBits":0,"frameType":0,"direction":1,"disableDefaultResponse":true,"manufacturerSpecific":false},"transactionSequenceNumber":33,"commandIdentifier":11}]
