[2026-01-28 22:42:16] debug: 	zh:controller: Received payload: clusterID=1794, address=7447, groupID=0, endpoint=1, destinationEndpoint=1, wasBroadcast=false, linkQuality=112, frame={"header":{"frameControl":{"frameType":0,"manufacturerSpecific":false,"direction":1,"disableDefaultResponse":true,"reservedBits":0},"transactionSequenceNumber":19,"commandIdentifier":1},"payload":[{"attrId":0,"status":0,"dataType":37,"attrData":2818}],"command":{"ID":1,"name":"readRsp","parameters":[{"name":"attrId","type":9},{"name":"status","type":8},{"name":"dataType","type":8,"conditions":[{"type":"fieldEquals","field":"status","value":0}]},{"name":"attrData","type":1000,"conditions":[{"type":"fieldEquals","field":"status","value":0}]}]}}
[2026-01-28 22:42:16] debug: 	z2m: Received Zigbee message from 'Tuya Connected Outlet', type 'readResponse', cluster 'seMetering', data '{"currentSummDelivered":2818}' from endpoint 1 with groupID 0
[2026-01-28 22:42:16] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/Tuya Connected Outlet', payload '{"child_lock":"UNLOCK","countdown":0,"current":0.22,"energy":28.18,"indicator_mode":"off/on","linkquality":112,"power":45,"power_outage_memory":"off","state":"ON","update":{"installed_version":268514823,"latest_version":268514823,"state":"idle"},"voltage":236}'
[2026-01-28 22:42:22] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-01-28 22:42:22] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=6](ackRx=6 frmTx=6)
[2026-01-28 22:42:22] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=6 frmNum=4](frmRx=4) Added to rxQueue
[2026-01-28 22:42:22] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=5](ackRx=6)
[2026-01-28 22:42:22] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=125:"INCOMING_MANY_TO_ONE_ROUTE_REQUEST_HANDLER" Seq=69 Len=16]
[2026-01-28 22:42:22] debug: 	zh:ember:ezsp: ezspIncomingManyToOneRouteRequestHandler: source=40200 longId=0x842712fffedb8ddb cost=1
[2026-01-28 22:43:07] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-01-28 22:43:07] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=6](ackRx=6 frmTx=6)
[2026-01-28 22:43:07] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=6 frmNum=5](frmRx=5) Added to rxQueue
[2026-01-28 22:43:07] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=6](ackRx=6)
[2026-01-28 22:43:07] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=89:"INCOMING_ROUTE_RECORD_HANDLER" Seq=69 Len=20]
[2026-01-28 22:43:07] debug: 	zh:ember:ezsp: ezspIncomingRouteRecordHandler: source=56960 sourceEui=0x6cfd22fffe610d7c lastHopLqi=128 lastHopRssi=-68 relayCount=1 relayList=40200
[2026-01-28 22:43:07] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-01-28 22:43:07] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=6](ackRx=6 frmTx=6)
[2026-01-28 22:43:07] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=6 frmNum=6](frmRx=6) Added to rxQueue
[2026-01-28 22:43:07] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=7](ackRx=6)
[2026-01-28 22:43:07] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=69:"INCOMING_MESSAGE_HANDLER" Seq=69 Len=32]
[2026-01-28 22:43:07] debug: 	zh:ember:ezsp: ezspIncomingMessageHandler: type=UNICAST apsFrame={"profileId":260,"clusterId":1030,"sourceEndpoint":2,"destinationEndpoint":1,"options":256,"groupId":0,"sequence":224} packetInfo:{"senderShortId":56960,"senderLongId":"0xffffffffffffffff","bindingIndex":255,"addressIndex":255,"lastHopLqi":128,"lastHopRssi":-68,"lastHopTimestamp":0} messageContents=18790a00001800
[2026-01-28 22:43:07] debug: 	zh:controller: Received payload: clusterID=1030, address=56960, groupID=0, endpoint=2, destinationEndpoint=1, wasBroadcast=false, linkQuality=128, frame={"header":{"frameControl":{"frameType":0,"manufacturerSpecific":false,"direction":1,"disableDefaultResponse":true,"reservedBits":0},"transactionSequenceNumber":121,"commandIdentifier":10},"payload":[{"attrId":0,"dataType":24,"attrData":0}],"command":{"ID":10,"name":"report","parameters":[{"name":"attrId","type":9},{"name":"dataType","type":8},{"name":"attrData","type":1000}]}}
[2026-01-28 22:43:07] debug: 	z2m: Received Zigbee message from 'IKEA Vallhorn Detector 1', type 'attributeReport', cluster 'msOccupancySensing', data '{"occupancy":0}' from endpoint 2 with groupID 0
[2026-01-28 22:43:07] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/IKEA Vallhorn Detector 1', payload '{"battery":100,"identify":null,"illuminance":1,"linkquality":128,"occupancy":false,"update":{"installed_version":16777316,"latest_version":16777316,"state":"idle"},"voltage":null}'
[2026-01-28 22:43:16] debug: 	zh:controller:endpoint: ZCL command 0xa4c138247a1a948b/1 haElectricalMeasurement.read(["rmsVoltage","rmsCurrent","activePower"], {"timeout":10000,"disableResponse":false,"disableRecovery":false,"disableDefaultResponse":true,"direction":0,"reservedBits":0,"writeUndiv":false})
[2026-01-28 22:43:16] debug: 	zh:ember: ~~~> [ZCL to=0xa4c138247a1a948b:7447 apsFrame={"profileId":260,"clusterId":2820,"sourceEndpoint":1,"destinationEndpoint":1,"options":4416,"groupId":0,"sequence":0} header={"frameControl":{"reservedBits":0,"frameType":0,"direction":0,"disableDefaultResponse":true,"manufacturerSpecific":false},"transactionSequenceNumber":20,"commandIdentifier":0}]
[2026-01-28 22:43:16] debug: 	zh:ember:ezsp: ===> [FRAME: ID=52:"SEND_UNICAST" Seq=70 Len=30]
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: ---> [FRAME type=DATA frmTx=6 frmRx=7](ackRx=6)
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=7](ackRx=6 frmTx=7)
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=7 frmNum=7](frmRx=7) Added to rxQueue
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=0](ackRx=7)
[2026-01-28 22:43:16] debug: 	zh:ember:ezsp: <=== [FRAME: ID=52:"SEND_UNICAST" Seq=70 Len=7]
[2026-01-28 22:43:16] debug: 	zh:ember:ezsp: ~~~> [SENT type=DIRECT apsSequence=88 messageTag=11 status=OK]
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=7](ackRx=7 frmTx=7)
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=7 frmNum=0](frmRx=0) Added to rxQueue
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=1](ackRx=7)
[2026-01-28 22:43:16] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=89:"INCOMING_ROUTE_RECORD_HANDLER" Seq=70 Len=18]
[2026-01-28 22:43:16] debug: 	zh:ember:ezsp: ezspIncomingRouteRecordHandler: source=7447 sourceEui=0xa4c138247a1a948b lastHopLqi=112 lastHopRssi=-72 relayCount=0 relayList=
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=7](ackRx=7 frmTx=7)
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=7 frmNum=1](frmRx=1) Added to rxQueue
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=2](ackRx=7)
[2026-01-28 22:43:16] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=63:"MESSAGE_SENT_HANDLER" Seq=70 Len=22]
[2026-01-28 22:43:16] debug: 	zh:ember:ezsp: ezspMessageSentHandler: status=OK type=DIRECT indexOrDestination=7447 apsFrame={"profileId":260,"clusterId":2820,"sourceEndpoint":1,"destinationEndpoint":1,"options":4416,"groupId":0,"sequence":88} messageTag=11
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA]
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=7](ackRx=7 frmTx=7)
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: <--- [FRAME type=DATA ackNum=7 frmNum=2](frmRx=2) Added to rxQueue
[2026-01-28 22:43:16] debug: 	zh:ember:uart:ash: ---> [FRAME type=ACK frmRx=3](ackRx=7)
[2026-01-28 22:43:16] debug: 	zh:ember:ezsp: <=== [CBFRAME: ID=69:"INCOMING_MESSAGE_HANDLER" Seq=70 Len=46]
[2026-01-28 22:43:16] debug: 	zh:ember:ezsp: ezspIncomingMessageHandler: type=UNICAST apsFrame={"profileId":260,"clusterId":2820,"sourceEndpoint":1,"destinationEndpoint":1,"options":320,"groupId":0,"sequence":100} packetInfo:{"senderShortId":7447,"senderLongId":"0xffffffffffffffff","bindingIndex":255,"addressIndex":255,"lastHopLqi":108,"lastHopRssi":-73,"lastHopTimestamp":0} messageContents=18140105050021ea0008050021e8000b0500212d00
[2026-01-28 22:43:16] debug: 	zh:controller: Received payload: clusterID=2820, address=7447, groupID=0, endpoint=1, destinationEndpoint=1, wasBroadcast=false, linkQuality=108, frame={"header":{"frameControl":{"frameType":0,"manufacturerSpecific":false,"direction":1,"disableDefaultResponse":true,"reservedBits":0},"transactionSequenceNumber":20,"commandIdentifier":1},"payload":[{"attrId":1285,"status":0,"dataType":33,"attrData":234},{"attrId":1288,"status":0,"dataType":33,"attrData":232},{"attrId":1291,"status":0,"dataType":33,"attrData":45}],"command":{"ID":1,"name":"readRsp","parameters":[{"name":"attrId","type":9},{"name":"status","type":8},{"name":"dataType","type":8,"conditions":[{"type":"fieldEquals","field":"status","value":0}]},{"name":"attrData","type":1000,"conditions":[{"type":"fieldEquals","field":"status","value":0}]}]}}
[2026-01-28 22:43:16] debug: 	z2m: Received Zigbee message from 'Tuya Connected Outlet', type 'readResponse', cluster 'haElectricalMeasurement', data '{"activePower":45,"rmsCurrent":232,"rmsVoltage":234}' from endpoint 1 with groupID 0
